winery,wine,year,rating,num_review,region,price,type,grapes
Telmo Rodriguez,Gazur 2018,2018,"3,5",290,España / Castilla y León / Ribera del Duero,"9,75",Vino tinto,100 % de Tinto Fino
Finca Míllara,Ribera de los Naranjos 2018,2018,"4,0",60,España / Galicia / Ribeira Sacra,"18,85",Vino tinto,"Souzao, Mencia"
Bodegas Faustino,I Gran Reserva 1976,1976,"4,0",89,España / Rioja,295,Vino tinto,Tempranillo
Villa Conchi,Cava Brut Selección N.V.,7291,"3,7",8791,España / Cava,"12,50",Vino espumoso,"30 % de Macabeo, 30 % de Xarel-lo, 30 % de Parellada, 10 % de Chardonnay"
Vinyes del Terrer,Terrer d'Aubert 2017,2017,"4,0",102,España / Cataluña / Tarragona,"15,75",Vino tinto,"80 % de Cabernet Sauvignon, 20 % de Garnacha"
Vinyes Domenech,Rita 2019,2019,"4,0",38,España / Cataluña / Tarragona / Montsant,"21,78",Vino blanco,100 % de Garnacha Blanca
Clos Mogador,Com Tu 2016,2016,"4,1",308,España / Cataluña / Tarragona / Montsant,"34,90",Vino tinto,100 % de Grenache
Casa Castillo,La Tendida 2020,2020,"3,9",63,España / Murcia / Jumilla,"11,65",Vino tinto,"85 % de Monastrell, 15 % de Garnacha"
Pazo Señorans,Albariño 2019,2019,"3,9",496,España / Galicia / Rías Baixas,"29,20",Vino blanco,100 % de Albariño
Marqués de Carrión,Rioja Crianza 2016,2016,"3,5",26,España / Rioja,"8,45",Vino tinto,"Tempranillo, Mazuelo, Graciano"
Finca Albret,La Viña de Mi Madre Reserva 2014,2014,"4,0",52,España / Navarra,"23,50",Vino tinto,"Cabernet Sauvignon, Merlot"
Cune (CVNE),Verdejo 2019,2019,"3,5",1285,España / Castilla y León / Rueda,"5,55",Vino blanco,100 % de Verdejo
Celler Cooperatiu d'Espolla,Babalà - Vi Negre Eixerit 2015,2015,"3,1",96,España / Cataluña,"6,90",Vino tinto,Grenache
Losada,Altos de Losada 2017,2017,"4,2",713,España / Castilla y León / Bierzo,"38,90",Vino tinto,100 % de Mencia
Los Frailes,Blanc de Trilogia 2021,2021,"4,1",48,España / Valencia,"9,40",Vino blanco,Sauvignon Blanc
Martinez Lacuesta,Rioja Reserva 2007,2007,"3,7",339,España / Rioja,"15,80",Vino tinto,"Tempranillo, Mazuelo, Graciano"
Figuero,Ribera Del Duero 15 Meses en Barrica (Reserva) 2017,2017,"4,0",34,España / Castilla y León / Ribera del Duero,"26,55",Vino tinto,100 % de Tempranillo
Terra Remota,Usted 2009,2009,"4,4",33,España / Cataluña / Empordà,"194,39",Vino tinto,100 % de Garnacha Tinta
Marqués de Riscal,Finca Montico Organic 2019,2019,"3,8",202,España / Castilla y León / Rueda,"13,10",Vino blanco,100 % de Verdejo
Finca Garabelos,La Trucha Albariño 2020,2020,"4,1",497,España / Galicia / Rías Baixas,"22,90",Vino blanco,100 % de Albariño
Castillo Perelada,Finca Malaveïna 2015,2015,"4,1",547,España / Cataluña / Empordà,"22,50",Vino tinto,100 % de Merlot
Marqués de la Concordia,Vega de La Reina Verdejo 2019,2019,"3,8",592,España / Castilla y León / Rueda,"6,26",Vino blanco,Verdejo
Autòcton Celler,Gran Autòcton 2015,2015,"3,7",103,España / Cataluña / Tarragona / Montsant,17,Vino tinto,100 % de Sumoll
